Neighborhood,Location in Manhattan,Home Type,Home Type (Numeric),Number of Properties,Number of Sales,Lowest Sale Price (USD),Average Sale Price (USD),Median Sale Price (USD),Highest Sale Price (USD),Zip Code,Percent of Neighborhood in Poverty,Median Income (USD),Housing Price to Income Ratio,Weighted Average Sale Price (USD),BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN
Upper East Side (79-96),Upper East Side,Three Family Homes,3,48,2,2750000,2750000,2750000,2750000,10028,5,149789,6.1197,8042166,0,New York,47530.00000000,9842046.47970000,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
West Harlem,Uptown,Two Family Homes,2,9,2,766036,767385,767385,768734,10031,24,57180,6.7103,767385,0,New York,57010.00000000,16902152.36590990,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Washington Heights Lower,Uptown,Single-Family Homes,1,36,1,703951,703951,703951,703951,10032,19,55059,12.7854,675819,0,New York,57606.00000000,23159566.09234290,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Washington Heights Lower,Uptown,Two Family Homes,2,89,1,390000,390000,390000,390000,10032,19,55059,3.5417,675819,0,New York,57606.00000000,23159566.09234290,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Washington Heights Lower,Uptown,Three Family Homes,3,48,2,530000,804662,804662,1079323,10032,19,55059,4.8715,675819,0,New York,57606.00000000,23159566.09234290,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Inwood,Uptown,Two Family Homes,2,81,2,563831,594666,594666,625500,10034,16,63851,4.6567,594666,0,New York,39149.00000000,24503892.12201150,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
East Harlem,Uptown,Two Family Homes,2,59,2,788376,799622,799622,810867,10035,34,32555,12.2811,799622,0,New York,34884.00000000,15445657.33408130,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Upper Harlem,Uptown,Single-Family Homes,1,80,1,850000,850000,850000,850000,10039,27,50164,16.9444,1084000,0,New York,24234.00000000,8419027.88460668,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Upper Harlem,Uptown,Two Family Homes,2,187,1,1200000,1200000,1200000,1200000,10039,27,50164,11.9608,1084000,0,New York,24234.00000000,8419027.88460668,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
Upper Harlem,Uptown,Three Family Homes,3,105,4,739000,1113500,1007500,1700000,10039,27,50164,6.6947,1084000,0,New York,24234.00000000,8419027.88460668,NY,New York,36,061,http://www.usps.com/,0.00000000000,0.00000000000
