Neighborhood,Location in Manhattan,Home Type,Home Type (Numeric),Number of Properties,Number of Sales,Lowest Sale Price (USD),Average Sale Price (USD),Median Sale Price (USD),Highest Sale Price (USD),Zip Code,Percent of Neighborhood in Poverty,Median Income (USD),Housing Price to Income Ratio,Weighted Average Sale Price (USD)
Chelsea,Midtown,Two Family Homes,2,81,2,995000,2872500,2872500,4750000,10001,14,101409,14.1629,3181667
Chelsea,Midtown,Three Family Homes,3,64,1,3800000,3800000,3800000,3800000,10001,14,101409,12.4907,3181667
Gramercy,Midtown,Three Family Homes,3,13,1,3450000,3450000,3450000,3450000,10003,11,137533,8.3616,3450000
East Village,Downtown,Single-Family Homes,1,22,1,7926432,7926432,7926432,7926432,10009,24,77551,102.2093,4527858
East Village,Downtown,Two Family Homes,2,39,2,3085000,3892500,3892500,4700000,10009,24,77551,25.0964,4527858
East Village,Downtown,Three Family Homes,3,18,1,2400000,2400000,2400000,2400000,10009,24,77551,10.3158,4527858
Central Greenwich Village,Downtown,Single-Family Homes,1,72,3,2100000,9798000,12219000,15075000,10011,10,139343,87.6901,8006286
Central Greenwich Village,Downtown,Two Family Homes,2,55,4,2350000,6662500,4450000,15400000,10011,10,139343,15.9678,8006286
SoHo,Downtown,Single-Family Homes,1,23,1,5500000,5500000,5500000,5500000,10012,12,117581,46.7763,5500000
Little Italy,Downtown,Single-Family Homes,1,10,1,3335000,3335000,3335000,3335000,10013,10,137572,24.2419,11417500
Little Italy,Downtown,Three Family Homes,3,4,1,19500000,19500000,19500000,19500000,10013,10,137572,47.248,11417500
West Greenwich Village,Downtown,Single-Family Homes,1,253,4,1764000,6034750,4712500,12950000,10014,7,136559,34.5089,5367830
West Greenwich Village,Downtown,Two Family Homes,2,281,10,3325000,5371486,5337430,8250000,10014,7,136559,19.5426,5367830
West Greenwich Village,Downtown,Three Family Homes,3,130,3,449249,4466416,5700000,7250000,10014,7,136559,13.9134,5367830
Murray Hill,Midtown,Two Family Homes,2,50,1,7282040,7282040,7282040,7282040,10016,9,136431,26.6876,7282040
Upper East Side (59-79),Upper East Side,Single-Family Homes,1,475,16,2050000,8963125,7600000,24925000,10021,5,136060,55.8577,8370909
Upper East Side (59-79),Upper East Side,Two Family Homes,2,184,4,2750000,6325000,5525000,11500000,10021,5,136060,20.3035,8370909
Upper East Side (59-79),Upper East Side,Three Family Homes,3,30,2,5700000,7725000,7725000,9750000,10021,5,136060,18.9255,8370909
Midtown East,Midtown,Single-Family Homes,1,80,2,3500000,7050000,7050000,10600000,10022,6,156255,45.1186,4689362
Midtown East,Midtown,Two Family Homes,2,45,2,1157446,2328723,2328723,3500000,10022,6,156255,7.4517,4689362
Upper West Side (59-79),Upper West Side,Single-Family Homes,1,64,2,4550000,9775000,9775000,15000000,10023,8,136109,71.8174,7212500
Upper West Side (59-79),Upper West Side,Three Family Homes,3,28,2,4000000,4650000,4650000,5300000,10023,8,136109,11.3879,7212500
Upper West Side (79-96),Upper West Side,Single-Family Homes,1,112,3,4000000,5078667,5020000,6216000,10024,8,153177,32.7725,5417200
Upper West Side (79-96),Upper West Side,Two Family Homes,2,114,2,4700000,5925000,5925000,7150000,10024,8,153177,19.3404,5417200
Manhattan Valley,Upper West Side,Single-Family Homes,1,16,1,3050000,3050000,3050000,3050000,10025,14,103440,29.4857,2020000
Manhattan Valley,Upper West Side,Three Family Homes,3,11,1,990000,990000,990000,990000,10025,14,103440,3.1903,2020000
Central Harlem,Uptown,Single-Family Homes,1,201,7,408771,954566,955950,1499000,10027,23,58435,16.3592,1082022
Central Harlem,Uptown,Two Family Homes,2,464,11,320000,1129825,1098300,1850000,10027,23,58435,9.3976,1082022
Central Harlem,Uptown,Three Family Homes,3,563,13,487424,1110204,938948,2575000,10027,23,58435,5.3561,1082022
Upper East Side (79-96),Upper East Side,Single-Family Homes,1,335,12,1750000,8402707,5957500,25000000,10028,5,149789,39.7726,8042166
Upper East Side (79-96),Upper East Side,Two Family Homes,2,143,1,14300000,14300000,14300000,14300000,10028,5,149789,47.7338,8042166
Upper East Side (79-96),Upper East Side,Three Family Homes,3,48,2,2750000,2750000,2750000,2750000,10028,5,149789,6.1197,8042166
West Harlem,Uptown,Two Family Homes,2,9,2,766036,767385,767385,768734,10031,24,57180,6.7103,767385
Washington Heights Lower,Uptown,Single-Family Homes,1,36,1,703951,703951,703951,703951,10032,19,55059,12.7854,675819
Washington Heights Lower,Uptown,Two Family Homes,2,89,1,390000,390000,390000,390000,10032,19,55059,3.5417,675819
Washington Heights Lower,Uptown,Three Family Homes,3,48,2,530000,804662,804662,1079323,10032,19,55059,4.8715,675819
Inwood,Uptown,Two Family Homes,2,81,2,563831,594666,594666,625500,10034,16,63851,4.6567,594666
East Harlem,Uptown,Two Family Homes,2,59,2,788376,799622,799622,810867,10035,34,32555,12.2811,799622
Upper Harlem,Uptown,Single-Family Homes,1,80,1,850000,850000,850000,850000,10039,27,50164,16.9444,1084000
Upper Harlem,Uptown,Two Family Homes,2,187,1,1200000,1200000,1200000,1200000,10039,27,50164,11.9608,1084000
Upper Harlem,Uptown,Three Family Homes,3,105,4,739000,1113500,1007500,1700000,10039,27,50164,6.6947,1084000
